Course Code,Course name,Pre-Requisites,What it satisfies,Description
LATIN,Latin,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Focuses on the Latin language and Roman literature.
LATINO,Latino Studies,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ","Examines histories, cultures, and contributions of Latino communities."
PORT,Portuguese,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Portuguese language instruction and Lusophone cultural studies.
RELIGION,Religious Studies,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ","Interdisciplinary study of religious beliefs, texts, and practices."
RTVF,Radio/TV/Film,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ","Focuses on media production and analysis in radio, TV, and film."
MENA,Middle East and North African Studies,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ","Interdisciplinary study of MENA region cultures, politics, and history."
MUS_COMP,Music Composition,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Teaches the craft and theory of music composition.
MUS_TECH,Music Technology,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Focuses on audio production and the use of tech in music.
MUS_THRY,Music Theory,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Studies musical structure and theoretical analysis.
MUSIC,Music,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ","Comprehensive music education in performance, theory, and composition."
MUSIC_ED,Music Education,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Prepares students for teaching music in various settings.
MUSICOL,Musicology,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Academic study of music history and cultural contexts.
PERF_ST,Performance Studies,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Interdisciplinary study of performance in culture and media.
PERSIAN,Persian,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Instruction in Persian and studies in Iranian culture.
PHIL,Philosphy,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ","Explores fundamental questions in ethics, knowledge, and existence."
SLAVIC,Slavic Languages and Literatures,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Studies Slavic languages and Eastern European cultures.
SPANISH,Spanish,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Spanish language instruction and Hispanic cultural/literary studies.
SWAHILI,Swahili,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Provides language skills and cultural understanding of East Africa.
THEATRE,Theatre,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Combines performance training with theatre history and theory.
TURKISH,Turkish,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ",Offers Turkish language instruction and cultural context.
YIDDISH,Yiddish,Varies per class (see dept. requirements),"Theme (Three courses must be related, At least 2 courses from each of Social Sciences and Humanities) (Humanities) ","Studies the Yiddish language, literature, and Ashkenazi Jewish culture."
Any,Any,Varies per class (see dept. requirements),Unrestricted Electives (1/5),
Any,Any,Varies per class (see dept. requirements),Unrestricted Electives (1/5),
Any,Any,Varies per class (see dept. requirements),Unrestricted Electives (1/5),
Any,Any,Varies per class (see dept. requirements),Unrestricted Electives (1/5),
Any,Any,Varies per class (see dept. requirements),Unrestricted Electives (1/5),
CIV_ENV 205,Engineering Economics,Math 220-1,IEMS Major Program: Engineering Econ,"The course introduces students to fundamental concepts in economics and finance in the context of decisions that arise in contemporary planning and management of social and environmentally-relevant engineering systems. Intended Audience
The intended audience for this course consists of undergraduate students in Engineering and Sciences. The course satisﬁes a basic engineering requirement in the systems engineering and analysis category.

Objectives
 Instill in students a recognition and appreciation that large-scale, long-term engineering projects have complex economic, environmental and social consequences and tradeoﬀs. In this context, the course aims to provide students technical tools to represent, evaluate, and select among projects based on their ﬁnancial consequences;
Prepare students to become ﬁnancially conversant in their professional careers and personal lives;
Allow the students to become proﬁcient in the use of commercial software to solve engineering problems; and
Prepare students to take advanced courses in systems engineering, ﬁnancial engineering and managerial accounting."
COMP_SCI 111,Fundamentals of Computer Programming I,None,IEMS Major Program: Computing (1/3),"This is an introductory course on the fundamentals of computer programming. I see this class as an opportunity for you, the student, to see what computer programming is all about and (more importantly) to see whether you want to spend the next few years doing more of it. This course will include weekly programming projects, readings, a midterm, and final examinations. Class participation is not optional."
COMP_SCI 150,Fundamentals of Computer Programming 1.5,COMP_SCI 110 or COMP_SCI 111 or GEN_ENG 205-1 or GEN_ENG 206-1 or CS MS.,IEMS Major Program: Computing (2/3),"Intended for students who have completed COMP_SCI 111, but don’t have any other formal Computer Science background. It will provide an introduction to object-oriented programming in Python, preparing students for future courses such as COMP_SCI 211"
COMP_SCI 217,Data Management,COMP_SCI 110 or COMP_SCI 111 or COMP_SCI 150 or COMP_SCI 211 or other programming experience,IEMS Major Program: Computing (3/3),"This course will teach students how to organize and analyze real-world data sets using tools that are most commonly used in the business world. In particular, students will learn the SQL language for analyzing data in relational databases. Students will also learn the details of common data encodings (integer, floating point, fixed point, text, date and time), how such data are structured in data files, and how to model complex data sets as a series of SQL tables. In other words, students will learn how to organize large data sets, and to answer questions using that data. The SQL skills taught in COMP_SCI 217 are essential for “data science” practitioners, especially when working with business data. COMP_SCI 217 is all about data, but not really about statistics, visualization, or programming (except SQL, which will be taught). Homework assignments will use the SQ database management systems. Some homework needs basic python programming as well.
COMP_SCI 217 is different from the COMP_SCI 339 and ELEC_ENG/COMP_ENG 495 “Introduction to Databases” courses that we offer to computer science students in that COMP_SCI 217 does not teach the details of how database management systems are built. In other words, the students in this class will learn how to use a database system, not how to build it from scratch.Formerly COMP_SCI 317. COURSE OUTCOMES: After completing this course, a student should be able to:

Draw a data model diagram to represent a complex data set.
Choose appropriate data types to store various data.
Define data integrity constraints using primary, foreign, and unique keys.
Define indexes to optimize the performance of particular queries on a database.
Implement a data model with “CREATE TABLE” commands in the SQL language.
Load data into the database tables from CSV and other data file formats.
Write complex SQL SELECT queries to answer various questions using the database. Structured Query Language (SQL)
Basic SQL statements
JOINs and aggregates
Subqueries and combining selects
Advanced queries
Data modeling for relational databases
Primary and foreign keys
Table relationships (many-to-one, many-to-many, and subsets)
Design database model
Representation of data: Integers, Floating-point numbers, text, etc
Beyond SQL database
Databases in a distributed setting
NoSQL NOTE: This course does not count for credit for CS and CE majors (they are expected to take COMP_SCI 339) – however, it counts for other majors."
IEMS 302,Probabilities,prior completion of or concurrent enrollment in MATH 228-2.,IEMS Major Program: Methods Core  (1/8) (sequence order based on prereqs),"Introduction to probability theory and its applications. Conditional probabilities and expectation values. Random variables and distributions, including binomial, Poisson, exponential, and normal. Joint distributions and limit laws for foundation of and connection to statistics. Examples in reliability, inventory, finance, and statistics. May not receive credit for both IEMS 202-0 and any of the following: ELEC_ENG 302-0; MATH 310-1, MATH 314-0, MATH 385-0; STAT 320-1, STAT 383-0."
IEMS 303,Statistics,Prerequisites: IEMS 302-0 or equivalent; COMP_SCI 150-0 or equivalent.,IEMS Major Program: Methods Core  (1/8) (sequence order based on prereqs),"Introduction to the foundations of statistics and statistical computing for data analysis and their applications. Descriptive statistics and statistical inference for estimation, testing, and prediction. May not receive credit for both IEMS 303-0 and any of IEMS 201-0, BMD_ENG 220-0, or CHEM_ENG 312-0. May not be taken for credit with or after STAT 320-1."
IEMS 304,Statistical Learning,Prerequisites: IEMS 303-0 and COMP_SCI 150-0 or equivalents.,IEMS Major Program: Methods Core  (1/8) (sequence order based on prereqs),"Predictive modeling of data using modern regression and classification methods. Multiple linear regression; logistic regression; pitfalls and diagnostics; nonparametric and nonlinear regression and classification such as trees, nearest neighbors, neural networks, and ensemble methods."
IEMS 313,Foundations of Optimization,Prerequisites: GEN_ENG 205-1 or GEN_ENG 206-1; MATH 228-1; COMP_SCI 110-0 or COMP_SCI 111-0 or COMP_SCI 150-0; sophomore standing.,IEMS Major Program: Methods Core  (1/8) (sequence order based on prereqs),"Formulation and solution of applicable optimization models, including linear, integer, nonlinear, and network problems. Efficient algorithmic methods and use of computer modeling languages and systems. Homework, exams, and project."
IEMS 315,Stohastic Models,"Prerequisites: IEMS 302-0; COMP_SCI 150-0; GEN_ENG 205-1 or GEN_ENG 206-1; and prior completion of or concurrent enrollment in IEMS 303-0.
",IEMS Major Program: Methods Core  (1/8) (sequence order based on prereqs),"Fundamental concepts of probability theory; modeling and analysis of systems having random dynamics, particularly queueing systems."
IEMS 317,Discrete-Event Systems Simulation,Prerequisites: IEMS 303-0; IEMS 310-0 or IEMS 315-0.,IEMS Major Program: Methods Core  (1/8) (sequence order based on prereqs),"Computer simulation of discrete-change systems subject to uncertainty. Choice of input distributions; development of models; design and analysis of simulation experiments. Mini-projects, exams, and computer labs."
IEMS 381,Supply Chain Modeling and Analysis,IEMS 313,IEMS Major Program: Methods Core + PL + Project (1/8) (Option for production & logistics),"Application and development of mathematical modeling tools for the analysis of strategic, tactical, and operational supply-chain problems, including facility location, customer assignment, vehicle routing, and inventory management. Related topics including the role of information and decision support systems in supply chains. Homework, exams, and project."
IEMS 382,Operations Engineering and Management,Prerequisites: IEMS 302-0; IEMS 310-0 or IEMS 313-0,IEMS Major Program: Methods Core + PL + Project (1/8) (Option for production & logistics),"Applications of operations research methods in managing and control of operations processes in manufacturing and service systems: including operations strategy; process-flow analysis; forecasting; capacity management; variability analysis; flow time and inventory management; flexible operations; lean operations; and production and workforce scheduling in manufacturing and service systems. Case studies, homework, and exams."
IEMS 383,Service Engineering and Management,"Prerequisites: IEMS 313-0, IEMS 315-0.",IEMS Major Program: Methods Core + PL + Project (1/8) (Option for production & logistics),"Exploration of service industries: cost-reduction and service-enhancement models, location planning, workforce scheduling, yield management, queuing analysis, and call-center management."
IEMS 385,Introduction to Health Systems Management,"Prerequisites: IEMS 303-0, IEMS 313-0",IEMS Major Program: Methods Core + PL + Project (1/8) (Option for production & logistics),"Health systems, lean concepts, patient-flow analysis, inference, and data-driven knowledge generation, decisions, and change. Forecasting, operations, and optimization of health resources."
IEMS 394,IE Client Project Challenge,"Prerequisites: IEMS 302-0, IEMS 303-0, IEMS 304-0, IEMS 313-0, IEMS 315-0, and IEMS 317-0.
",IEMS Major Program: Methods Core  (1/8) (sequence order based on prereqs),Open-ended client projects involving application of operations research techniques to complex data analysis and decision problems. Typically taken at the end of junior year or at the start of senior year. Closed to seniors in spring quarter. Junior spring or Senior fall
IEMS 307,Quality Improvement by Experimental Design,"Prerequisite: IEMS 201-0, IEMS 303-0, or equivalent.",IEMS Major Program: IE/OR Electives (1/3) (Cannot be the same as production & logistics course used for Methods Core),"Methods for designing and analyzing industrial experiments. Blocking; randomization; multiple regression; factorial and fractional factorial experiments; response surface methodology; Taguchi's robust design; split plot experimentation. Homework, labs, and project."
IEMS 308,Data Science and Analytics,Prerequisites: IEMS 304-0; COMP_SCI 217-0,IEMS Major Program: IE/OR Electives (1/3) (Cannot be the same as production & logistics course used for Methods Core),"Focuses on select problems in data science, in particular clustering, association rules, web analytics, text mining, and dimensionality reduction. Lectures will be completed with exercises and projects in open source framework R. Prior knowledge of classification techniques and R is required."
IEMS 351,Optimization Methods in Data Science,"Prerequisites: COMP_SCI 111-0 and IEMS 303-0 and IEMS 313-0, or equivalent.",IEMS Major Program: IE/OR Electives (1/3) (Cannot be the same as production & logistics course used for Methods Core),"Introduction to nonlinear mathematical optimization with applications in data science. The theoretical foundation and the fundamental algorithms for nonlinear optimization are studied and applied to supervised learning models, including nonlinear regression, logistic regression, and deep neural networks. Students write their own implementation of the algorithms in the Python programming language and explore their performance on realistic data sets."
IEMS 365,Analytics for Social Good,None,IEMS Major Program: IE/OR Electives (1/3) (Cannot be the same as production & logistics course used for Methods Core),Challenges and opportunities in using analytics to pursue social good. Application of data-analysis and decision-making tools and frameworks to such case studies as disaster response and community-based healthcare. For juniors and seniors with interests in humanitarian and nonprofit operations.
IEMS 373,Intro to Financial Engineering,"Prerequisites: CIV_ENV 205-0, IEMS 302-0, IEMS 303-0 or equivalents, or consent of instructor.",IEMS Major Program: IE/OR Electives (1/3) (Cannot be the same as production & logistics course used for Methods Core),"Financial markets, derivative securities, risk management, mathematical models in finance. Foreign exchange, debt, equity, commodity markets. Investing, trading, hedging, arbitrage. Forwards, futures, options, swaps, exotic derivatives. Models of price dynamics, binomial model, introduction to Black-Scholes theory and Monte Carlo simulation. Homework, projects, and guest speakers."
IEMS 381,Supply Chain Modeling and Analysis,Prerequisite: IEMS 313-0.,IEMS Major Program: IE/OR Electives (1/3) (Cannot be the same as production & logistics course used for Methods Core),"Application and development of mathematical modeling tools for the analysis of strategic, tactical, and operational supply-chain problems, including facility location, customer assignment, vehicle routing, and inventory management. Related topics including the role of information and decision support systems in supply chains. Homework, exams, and project."
IEMS 382,Operations Engineering and Management,Prerequisites: IEMS 302-0; IEMS 310-0 or IEMS 313-0,IEMS Major Program: IE/OR Electives (1/3) (Cannot be the same as production & logistics course used for Methods Core),"Applications of operations research methods in managing and control of operations processes in manufacturing and service systems: including operations strategy; process-flow analysis; forecasting; capacity management; variability analysis; flow time and inventory management; flexible operations; lean operations; and production and workforce scheduling in manufacturing and service systems. Case studies, homework, and exams."
IEMS 383,Service Engineering and Management,"Prerequisites: IEMS 313-0, IEMS 315-0.",IEMS Major Program: IE/OR Electives (1/3) (Cannot be the same as production & logistics course used for Methods Core),"Exploration of service industries: cost-reduction and service-enhancement models, location planning, workforce scheduling, yield management, queuing analysis, and call-center management."
IEMS 385,Introduction to Health Systems Management,"Prerequisites: IEMS 303-0, IEMS 313-0",IEMS Major Program: IE/OR Electives (1/3) (Cannot be the same as production & logistics course used for Methods Core),"Health systems, lean concepts, patient-flow analysis, inference, and data-driven knowledge generation, decisions, and change. Forecasting, operations, and optimization of health resources."
IEMS 325,Engineering Entreprenuership,Prerequisite: 1 course in accounting or finance such as CIV_ENV 205-0 or ENTREP 330-1.,IEMS Major Program: MS Electives (1/2),"Overview of the entrepreneurial process from an engineering perspective. Idea generation, planning, financing, marketing, protecting, staffing, leading, growing, and harvesting. Business models for startups. Lectures, guest speakers, and case studies. "
IEMS 340 ,Qualitative Methods in Engineering Systems,"Prerequisites: DSGN 106-1 and DSGN 106-2, or consent of instructor for non-McCormick students.",IEMS Major Program: MS Electives (1/2),"The use of social network analysis to understand the growing connectivity and complexity in the world around us on different scales, ranging from small groups to the World Wide Web. How we create social, economic, and technological networks, and how they enable and constrain attitudes and behaviors."
IEMS 341,Social Networks Analysis,None,IEMS Major Program: MS Electives (1/2),"The use of social network analysis to understand the growing connectivity and complexity in the world around us on different scales, ranging from small groups to the World Wide Web. How we create social, economic, and technological networks, and how they enable and constrain attitudes and behaviors."
IEMS 342,Organizational Behaviour,None,IEMS Major Program: MS Electives (1/2),"Manager's view of tools available to recruit, develop, appraise, compensate, organize, and lead a team going through change. Application of psychological principles relating to human dynamics, motivation, teams, power, and organizational culture. Lectures, guest speakers, and exams. Work experience recommended."
IEMS 343,Project Management for Engineers,Prerequisites: CIV_ENV 205-0 and IEMS 303-0.,IEMS Major Program: MS Electives (1/2),"A case study-based exploration of the body of project management knowledge. Key topics include project scheduling, risk management, project leadership, small-group dynamics, project methodologies, lifecycle concepts, and project controls. A Socratic approach is taken to exploring various case studies in the context of established and leading-edge project management concepts."
IEMS 344,Whole-Brain Leadership,Prerequisite: Junior standing.,IEMS Major Program: MS Electives (1/2),"This course examines whole-brain thinking and leading. Students will draw upon previous work and leadership experience to identify their own thinking and leading preferences and those of team member, and will examine contrasting thinking and leading styles in an effort to appreciate and combine these to produce optimal outcomes. A number of leadership theories and ways of leading will be examined including creative and agile leadership. Analytical thinkers/leaders will be challenged to spend more time with innovation and creativity, while creative thinkers/leaders will be presented with opportunities to engage in analytical problem-solving. Work experience recommended."
IEMS 345,Negotiations and Conflict Resolution for Engineers,Prerequisite: Junior standing.,IEMS Major Program: MS Electives (1/2),"In this highly interactive class, students participate in negotiation and dispute resolution simulations that range in complexity from single-party/single-issue to multiparty/ multi-issue cases. In addition students explore the role of agents and third parties in the managing conflict. Throughout all of the simulations integrative and distributive strategies are emphasized that can be applied across a variety of contexts."
IEMS 349,Organizational Leadership,None,IEMS Major Program: MS Electives (1/2),"This course enables students to think critically about leadership in organizations by understanding five facets of leadership. The five facets are areas of theorizing that explain what makes leadership effective: features, functions, form, fit, and focus. We will learn to answer questions about who is influential, what makes for good leadership, when (under what conditions?), and why (through what mechanisms?) is leadership successful. We explore leadership concepts using a set of illustrative case studies of interesting people who have led interesting lives of impact. Students may not receive credit for both IEMS 349-0 and COMM_ST 350-SA."
"Any 200-level or higher course in McCormick, excluding CRDV and PRDV courses Any 200-level or higher course in Biology, Chemistry, or Physics",General Tech Elective 1,Varies per class (see dept. requirements),IEMS Major Program: General Tech Electives (1/4),
"Any 200-level or higher course in McCormick, excluding CRDV and PRDV courses Any 200-level or higher course in Biology, Chemistry, or Physics",General Tech zelective 2,Varies per class (see dept. requirements),IEMS Major Program: General Tech Electives (1/4),
"Any 200-level or higher course in McCormick, excluding CRDV and PRDV courses Any 200-level or higher course in Biology, Chemistry, or Physics",General Tech Elective 3,Varies per class (see dept. requirements),IEMS Major Program: General Tech Electives (1/4), 
"Any 200-level or higher course in McCormick, excluding CRDV and PRDV courses Any 200-level or higher course in Biology, Chemistry, or Physics",General Tech Elective 4,Varies per class (see dept. requirements),IEMS Major Program: General Tech Electives (1/4),
